No;time;G;unit;x;x2;y;s;xvar
1;1;2;7;1;1;1.683433167;1;1
2;1;2;13;1;1;3.338359642;1;1
3;1;2;18;1;1;1.659278707;1;1
4;1;2;36;1;1;-0.368649493;1;1
5;1;2;46;1;1;2.203629118;1;1
6;1;2;55;1;1;-0.29307381;1;1
7;1;2;67;1;1;2.577359721;1;1
8;1;2;71;1;1;1.521636426;1;1
9;1;2;76;1;1;-0.070375951;1;1
10;1;2;90;1;1;1.561864067;1;1
11;1;2;109;1;1;0.64970603;1;1
12;1;2;111;1;1;1.096778034;1;1
13;1;2;122;1;1;0.755847187;1;1
14;1;2;131;1;1;2.068641516;1;1
15;1;2;142;1;1;1.701603548;1;1
16;1;2;144;1;1;1.889953913;1;1
17;1;2;149;1;1;1.812290079;1;1
18;1;2;153;1;1;1.185434927;1;1
19;1;2;197;1;1;2.840752885;1;1
20;1;2;221;1;1;1.588035056;1;1
21;1;2;223;1;1;1.356150309;1;1
22;1;2;224;1;1;1.581277735;1;1
23;1;2;234;1;1;2.622922829;1;1
24;1;2;236;1;1;0.244838604;1;1
25;1;2;238;1;1;1.234690213;1;1
26;1;2;252;1;1;2.312320527;1;1
27;1;2;253;1;1;0.738915318;1;1
28;1;2;254;1;1;-0.096120386;1;1
29;1;2;259;1;1;1.818012137;1;1
30;1;2;261;1;1;0.85322261;1;1
31;1;2;272;1;1;1.850299613;1;1
32;1;2;278;1;1;1.315157237;1;1
33;1;2;295;1;1;0.581130411;1;1
34;1;2;304;1;1;0.794840608;1;1
35;1;2;326;1;1;-0.000934978;1;1
36;1;2;328;1;1;1.601140297;1;1
37;1;2;332;1;1;1.886935311;1;1
38;1;2;335;1;1;1.328989329;1;1
39;1;2;341;1;1;1.923088425;1;1
40;1;2;342;1;1;2.228134478;1;1
41;1;2;368;1;1;1.555808582;1;1
42;1;2;370;1;1;0.800468759;1;1
43;1;2;391;1;1;2.161219047;1;1
44;1;2;405;1;1;0.115207789;1;1
45;1;2;418;1;1;0.396490024;1;1
46;1;2;491;1;1;1.167559828;1;1
47;1;2;507;1;1;0.70215725;1;1
48;1;2;512;1;1;2.047745532;1;1
49;1;2;542;1;1;0.353702986;1;1
50;1;2;559;1;1;1.433052829;1;1
51;1;2;600;1;1;0.058710924;1;1
52;1;2;625;1;1;0.86188232;1;1
53;1;2;633;1;1;-0.115494709;1;1
54;1;2;636;1;1;1.231520176;1;1
55;1;2;655;1;1;1.397207992;1;1
56;1;2;659;1;1;2.275397989;1;1
57;1;2;679;1;1;-0.067474356;1;1
58;1;2;740;1;1;1.176043621;1;1
59;1;2;741;1;1;2.057025057;1;1
60;1;2;756;1;1;1.514212978;1;1
61;1;2;757;1;1;1.184651697;1;1
62;1;2;758;1;1;-1.016821645;1;1
63;1;2;778;1;1;2.203764203;1;1
64;1;2;801;1;1;2.468139326;1;1
65;1;2;825;1;1;1.03724251;1;1
66;1;2;857;1;1;0.949193447;1;1
67;1;2;870;1;1;3.034573215;1;1
68;1;2;881;1;1;1.22469008;1;1
69;1;2;882;1;1;1.476404603;1;1
70;1;2;885;1;1;1.400977655;1;1
71;1;2;902;1;1;1.929697038;1;1
72;1;2;904;1;1;1.253535155;1;1
73;1;2;912;1;1;1.082461466;1;1
74;1;2;914;1;1;0.224510445;1;1
75;1;2;949;1;1;0.15252572;1;1
76;1;2;963;1;1;1.131933269;1;1
77;1;2;975;1;1;1.890695182;1;1
78;1;2;978;1;1;0.302613204;1;1
79;1;3;9;1;1;2.697754688;1;1
80;1;3;11;1;1;1.351009427;1;1
81;1;3;30;1;1;2.113865425;1;1
82;1;3;38;1;1;2.613377915;1;1
83;1;3;40;1;1;2.482036124;1;1
84;1;3;53;1;1;0.11021417;1;1
85;1;3;61;1;1;1.601416015;1;1
86;1;3;140;1;1;0.168276039;1;1
87;1;3;145;1;1;3.273182899;1;1
88;1;3;146;1;1;1.382260122;1;1
89;1;3;170;1;1;1.162901353;1;1
90;1;3;233;1;1;2.692910701;1;1
91;1;3;246;1;1;0.698767419;1;1
92;1;3;247;1;1;0.309715938;1;1
93;1;3;266;1;1;2.058977402;1;1
94;1;3;288;1;1;0.624608492;1;1
95;1;3;291;1;1;-0.795448642;1;1
96;1;3;297;1;1;1.492301846;1;1
97;1;3;299;1;1;-0.080694519;1;1
98;1;3;301;1;1;-0.812819045;1;1
99;1;3;315;1;1;1.389380251;1;1
100;1;3;324;1;1;1.841922026;1;1
101;1;3;382;1;1;2.325275503;1;1
102;1;3;388;1;1;0.009045658;1;1
103;1;3;407;1;1;0.370955566;1;1
104;1;3;408;1;1;1.244664975;1;1
105;1;3;412;1;1;1.315879331;1;1
106;1;3;416;1;1;2.732234844;1;1
107;1;3;417;1;1;0.757228188;1;1
108;1;3;426;1;1;2.360065825;1;1
109;1;3;440;1;1;2.04047554;1;1
110;1;3;449;1;1;1.273627653;1;1
111;1;3;465;1;1;0.329947156;1;1
112;1;3;470;1;1;-0.147800387;1;1
113;1;3;475;1;1;0.607158547;1;1
114;1;3;485;1;1;0.992213345;1;1
115;1;3;505;1;1;0.765767746;1;1
116;1;3;518;1;1;0.452443146;1;1
117;1;3;519;1;1;2.26482984;1;1
118;1;3;530;1;1;-0.128992824;1;1
119;1;3;569;1;1;2.247832433;1;1
120;1;3;575;1;1;0.14099813;1;1
121;1;3;580;1;1;-0.348514446;1;1
122;1;3;592;1;1;0.820009292;1;1
123;1;3;613;1;1;1.301338136;1;1
124;1;3;627;1;1;2.098110646;1;1
125;1;3;657;1;1;1.713405917;1;1
126;1;3;658;1;1;0.901442775;1;1
127;1;3;683;1;1;0.976984444;1;1
128;1;3;690;1;1;0.242441195;1;1
129;1;3;691;1;1;0.421622281;1;1
130;1;3;701;1;1;2.680152446;1;1
131;1;3;746;1;1;-0.224325251;1;1
132;1;3;751;1;1;0.629229915;1;1
133;1;3;769;1;1;2.29885523;1;1
134;1;3;781;1;1;1.448102769;1;1
135;1;3;783;1;1;0.172683677;1;1
136;1;3;791;1;1;0.956270416;1;1
137;1;3;806;1;1;1.018946163;1;1
138;1;3;820;1;1;1.195833949;1;1
139;1;3;832;1;1;1.488299252;1;1
140;1;3;841;1;1;1.881333485;1;1
141;1;3;843;1;1;2.969017555;1;1
142;1;3;847;1;1;1.759374458;1;1
143;1;3;853;1;1;1.333036706;1;1
144;1;3;861;1;1;1.722602344;1;1
145;1;3;891;1;1;2.143730101;1;1
146;1;3;901;1;1;1.026557574;1;1
147;1;3;907;1;1;2.339148271;1;1
148;1;3;911;1;1;1.897833735;1;1
149;1;3;923;1;1;0.933512355;1;1
150;1;3;933;1;1;0.99692947;1;1
151;1;3;951;1;1;1.156413628;1;1
152;1;3;961;1;1;1.414893401;1;1
153;1;3;962;1;1;-0.255989997;1;1
154;1;3;968;1;1;3.485977241;1;1
155;1;3;982;1;1;3.6011811;1;1
156;1;3;984;1;1;0.232756672;1;1
157;1;4;10;1;1;3.353697978;1;1
158;1;4;16;1;1;0.391507585;1;1
159;1;4;21;1;1;0.872663207;1;1
160;1;4;26;1;1;1.74678918;1;1
161;1;4;37;1;1;1.253943503;1;1
162;1;4;72;1;1;2.24024535;1;1
163;1;4;74;1;1;0.763265742;1;1
164;1;4;81;1;1;1.250126191;1;1
165;1;4;108;1;1;1.256347451;1;1
166;1;4;135;1;1;0.435402022;1;1
167;1;4;136;1;1;0.927275763;1;1
168;1;4;151;1;1;2.702824541;1;1
169;1;4;161;1;1;1.716142394;1;1
170;1;4;163;1;1;1.255042669;1;1
